config,run,cold_or_warm,witness_ms,exec_ms,prove_ms,verify_ms,proof_bytes,ok
5,21,cold,7,142,502,49,14212,true
2,2,warm,6,146,533,43,14212,true
5,4,warm,6,140,488,41,14212,true
1,4,warm,5,138,580,45,14212,true
1,6,warm,6,139,490,42,14212,true
2,16,warm,8,162,582,41,14212,true
2,24,warm,5,138,490,43,14212,true
2,20,warm,6,155,567,47,14212,true
1,29,warm,5,139,525,44,14212,true
4,10,warm,6,142,467,42,14212,true
3,29,warm,6,147,555,41,14212,true
1,12,warm,5,140,485,42,14212,true
4,16,warm,6,141,511,42,14212,true
1,7,warm,5,140,512,42,14212,true
2,25,warm,6,161,473,42,14212,true
5,24,warm,5,149,507,41,14212,true
1,20,warm,5,145,517,41,14212,true
4,24,warm,6,146,532,41,14212,true
1,19,warm,5,155,653,45,14212,true
1,3,warm,6,151,492,40,14212,true
1,25,warm,5,139,616,43,14212,true
4,27,warm,6,154,516,44,14212,true
3,7,warm,6,219,593,41,14212,true
4,23,warm,6,142,492,40,14212,true
3,25,warm,6,143,628,45,14212,true
3,0,warm,5,138,524,40,14212,true
5,6,warm,6,159,520,42,14212,true
1,21,warm,5,145,523,42,14212,true
1,5,warm,5,142,487,44,14212,true
4,26,warm,8,163,527,46,14212,true
3,20,warm,6,140,496,43,14212,true
2,14,warm,5,187,471,41,14212,true
4,3,warm,5,143,480,41,14212,true
3,8,warm,6,142,500,40,14212,true
4,4,warm,5,135,488,42,14212,true
3,18,warm,6,140,489,42,14212,true
5,25,warm,6,143,466,40,14212,true
4,28,warm,6,137,514,42,14212,true
2,9,warm,6,141,511,43,14212,true
3,28,warm,5,135,505,57,14212,true
4,13,warm,6,148,539,41,14212,true
4,0,warm,5,139,506,42,14212,true
2,6,warm,6,150,521,42,14212,true
3,11,warm,6,153,534,42,14212,true
3,21,warm,6,143,751,47,14212,true
5,3,warm,7,150,545,45,14212,true
5,1,warm,6,143,464,42,14212,true
2,10,warm,5,144,504,42,14212,true
2,4,warm,5,141,492,41,14212,true
2,23,warm,5,140,501,41,14212,true
2,8,warm,5,144,563,43,14212,true
1,16,warm,5,143,516,42,14212,true
2,3,warm,5,141,515,41,14212,true
1,0,warm,5,135,511,41,14212,true
3,26,warm,5,140,528,44,14212,true
5,18,warm,7,143,664,43,14212,true
2,1,warm,5,148,542,44,14212,true
5,5,warm,8,146,554,41,14212,true
4,1,warm,6,139,552,42,14212,true
5,23,warm,6,149,551,48,14212,true
4,29,warm,7,154,537,43,14212,true
4,15,warm,6,138,523,40,14212,true
5,11,warm,6,156,519,43,14212,true
4,18,warm,6,136,503,41,14212,true
1,27,warm,5,134,523,43,14212,true
2,13,warm,6,146,526,42,14212,true
5,8,warm,6,136,506,42,14212,true
1,11,warm,5,145,531,43,14212,true
2,21,warm,5,147,502,42,14212,true
2,17,warm,5,139,497,43,14212,true
1,23,warm,5,139,520,45,14212,true
1,1,warm,40,148,522,43,14212,true
5,0,warm,6,136,529,42,14212,true
2,0,warm,5,138,514,43,14212,true
5,15,warm,7,138,520,45,14212,true
5,22,warm,6,144,518,40,14212,true
4,17,warm,6,144,508,42,14212,true
4,21,warm,6,144,524,42,14212,true
3,2,warm,6,139,510,41,14212,true
1,13,warm,5,140,538,42,14212,true
3,19,warm,5,140,548,41,14212,true
5,27,warm,6,136,528,40,14212,true
5,14,warm,6,138,515,44,14212,true
3,10,warm,5,138,537,45,14212,true
3,5,warm,5,145,564,41,14212,true
5,13,warm,6,143,601,44,14212,true
3,1,warm,5,135,543,42,14212,true
3,6,warm,5,138,549,42,14212,true
3,16,warm,7,142,546,46,14212,true
3,12,warm,6,149,568,45,14212,true
1,18,warm,5,152,569,43,14212,true
2,28,warm,6,144,575,44,14212,true
5,19,warm,7,146,552,42,14212,true
3,27,warm,5,138,549,41,14212,true
1,17,warm,5,143,529,44,14212,true
3,13,warm,5,145,534,43,14212,true
4,22,warm,6,137,524,42,14212,true
1,8,warm,5,141,624,44,14212,true
4,8,warm,5,141,509,45,14212,true
4,2,warm,6,148,515,47,14212,true
1,22,warm,6,149,502,41,14212,true
4,6,warm,5,141,488,43,14212,true
3,3,warm,5,142,500,42,14212,true
5,26,warm,6,147,525,42,14212,true
2,19,warm,5,140,534,43,14212,true
5,20,warm,6,150,566,40,14212,true
3,4,warm,5,152,691,59,14212,true
5,2,warm,6,178,596,44,14212,true
1,10,warm,5,180,553,42,14212,true
4,19,warm,6,147,545,43,14212,true
1,2,warm,6,143,622,45,14212,true
4,5,warm,6,147,563,41,14212,true
2,5,warm,6,146,548,43,14212,true
3,17,warm,6,145,557,42,14212,true
3,15,warm,5,181,531,43,14212,true
1,9,warm,5,141,521,42,14212,true
4,9,warm,5,142,517,41,14212,true
5,10,warm,6,139,545,44,14212,true
2,12,warm,5,148,512,44,14212,true
4,20,warm,6,154,528,44,14212,true
2,29,warm,5,137,568,40,14212,true
3,9,warm,5,139,529,42,14212,true
2,22,warm,5,147,539,42,14212,true
2,26,warm,5,140,520,41,14212,true
5,9,warm,6,135,531,40,14212,true
5,7,warm,6,139,581,52,14212,true
5,12,warm,6,148,602,100,14212,true
