config,run,cold_or_warm,witness_ms,exec_ms,prove_ms,verify_ms,proof_bytes,ok
1,16,cold,0,146,266,44,14116,true
4,9,warm,0,129,125,47,14116,true
3,0,warm,0,139,163,50,14116,true
2,24,warm,0,126,128,40,14116,true
3,25,warm,0,126,123,40,14116,true
4,29,warm,0,120,117,40,14116,true
3,2,warm,0,238,189,41,14116,true
2,19,warm,0,133,122,39,14116,true
5,0,warm,0,122,111,40,14116,true
2,28,warm,0,122,110,41,14116,true
4,10,warm,0,120,138,42,14116,true
1,19,warm,0,141,129,41,14116,true
2,7,warm,0,118,123,41,14116,true
5,24,warm,0,125,115,40,14116,true
1,10,warm,0,138,111,40,14116,true
2,29,warm,0,118,112,40,14116,true
3,11,warm,0,133,113,39,14116,true
4,14,warm,0,116,113,40,14116,true
4,26,warm,0,115,113,40,14116,true
3,24,warm,0,120,114,41,14116,true
1,18,warm,0,122,110,40,14116,true
1,15,warm,0,118,194,40,14116,true
5,14,warm,0,117,117,42,14116,true
5,11,warm,0,138,140,40,14116,true
1,23,warm,0,118,112,40,14116,true
1,27,warm,0,115,116,41,14116,true
3,21,warm,0,112,115,41,14116,true
1,7,warm,0,116,113,39,14116,true
3,1,warm,0,117,112,40,14116,true
2,9,warm,0,114,110,40,14116,true
1,5,warm,0,119,121,40,14116,true
4,11,warm,0,114,119,39,14116,true
5,4,warm,0,118,113,41,14116,true
2,8,warm,0,117,113,40,14116,true
2,1,warm,0,117,114,41,14116,true
2,11,warm,0,146,114,40,14116,true
5,27,warm,0,111,109,40,14116,true
1,29,warm,0,110,135,40,14116,true
1,24,warm,0,111,114,41,14116,true
2,0,warm,0,117,109,40,14116,true
3,13,warm,0,114,115,40,14116,true
5,6,warm,0,113,116,40,14116,true
2,22,warm,0,115,116,39,14116,true
2,4,warm,0,114,113,42,14116,true
2,10,warm,0,114,113,41,14116,true
4,1,warm,0,114,115,40,14116,true
5,29,warm,0,115,115,41,14116,true
1,28,warm,0,116,113,41,14116,true
2,23,warm,0,121,113,40,14116,true
2,27,warm,0,119,111,39,14116,true
5,3,warm,0,121,112,39,14116,true
3,15,warm,0,123,111,39,14116,true
1,26,warm,0,141,118,39,14116,true
1,6,warm,0,143,135,54,14116,true
5,28,warm,0,132,135,52,14116,true
3,18,warm,0,141,156,40,14116,true
3,9,warm,0,141,138,53,14116,true
5,17,warm,0,168,140,43,14116,true
1,4,warm,0,127,125,40,14116,true
4,7,warm,0,129,172,42,14116,true
1,14,warm,0,208,157,47,14116,true
2,5,warm,0,216,680,43,14116,true
2,16,warm,0,160,128,41,14116,true
3,22,warm,0,125,170,42,14116,true
2,20,warm,0,144,115,40,14116,true
3,12,warm,0,139,125,43,14116,true
1,21,warm,0,120,124,44,14116,true
3,10,warm,0,117,157,44,14116,true
1,3,warm,0,148,139,42,14116,true
5,26,warm,0,130,117,39,14116,true
2,2,warm,0,124,113,40,14116,true
4,20,warm,0,119,111,39,14116,true
4,12,warm,0,123,112,41,14116,true
3,17,warm,0,123,116,39,14116,true
3,16,warm,0,177,182,44,14116,true
5,21,warm,0,171,122,41,14116,true
4,16,warm,0,130,118,40,14116,true
4,6,warm,0,119,155,44,14116,true
5,8,warm,0,113,112,39,14116,true
2,14,warm,0,112,113,39,14116,true
4,5,warm,0,112,111,40,14116,true
4,19,warm,0,114,127,41,14116,true
5,18,warm,0,118,118,40,14116,true
5,25,warm,0,111,117,39,14116,true
5,23,warm,0,117,142,40,14116,true
5,19,warm,0,120,118,40,14116,true
4,2,warm,0,114,123,39,14116,true
2,15,warm,0,118,120,40,14116,true
4,18,warm,0,170,121,41,14116,true
5,15,warm,0,133,125,40,14116,true
2,3,warm,0,118,112,40,14116,true
3,14,warm,0,117,115,40,14116,true
1,17,warm,0,114,112,41,14116,true
4,15,warm,0,115,113,40,14116,true
2,13,warm,0,116,113,40,14116,true
5,22,warm,0,114,116,41,14116,true
4,23,warm,0,180,116,39,14116,true
2,6,warm,0,117,109,39,14116,true
5,9,warm,0,117,115,40,14116,true
1,11,warm,0,116,122,40,14116,true
2,25,warm,0,124,112,39,14116,true
5,1,warm,0,116,112,39,14116,true
2,26,warm,0,112,117,39,14116,true
5,10,warm,0,115,115,39,14116,true
1,13,warm,0,114,121,40,14116,true
2,12,warm,0,115,117,40,14116,true
5,2,warm,0,122,112,39,14116,true
3,3,warm,0,126,114,39,14116,true
1,8,warm,0,133,113,41,14116,true
4,4,warm,0,118,112,41,14116,true
1,0,warm,0,116,114,40,14116,true
5,7,warm,0,115,111,41,14116,true
1,25,warm,0,117,116,40,14116,true
1,22,warm,0,117,112,41,14116,true
5,5,warm,0,118,112,41,14116,true
3,26,warm,0,115,113,39,14116,true
4,0,warm,0,116,108,39,14116,true
1,9,warm,0,123,116,40,14116,true
3,27,warm,0,122,113,39,14116,true
1,20,warm,0,115,115,43,14116,true
3,28,warm,0,131,114,40,14116,true
4,25,warm,1,129,113,40,14116,true
5,16,warm,0,123,114,40,14116,true
2,17,warm,0,116,116,39,14116,true
2,21,warm,0,124,125,43,14116,true
4,8,warm,1,129,144,42,14116,true
3,23,warm,0,247,295,52,14116,true
4,17,warm,0,181,128,40,14116,true
4,24,warm,0,120,113,40,14116,true
5,12,warm,0,123,114,40,14116,true
3,8,warm,0,121,114,40,14116,true
5,20,warm,0,141,114,39,14116,true
4,27,warm,0,122,117,40,14116,true
1,2,warm,0,175,125,41,14116,true
3,29,warm,0,124,117,40,14116,true
3,7,warm,0,123,114,39,14116,true
3,4,warm,0,118,124,41,14116,true
4,28,warm,0,133,116,39,14116,true
5,13,warm,0,113,113,40,14116,true
4,3,warm,0,114,115,41,14116,true
3,19,warm,0,128,126,42,14116,true
3,5,warm,0,130,152,41,14116,true
1,1,warm,0,131,126,40,14116,true
1,12,warm,0,125,118,44,14116,true
4,21,warm,0,123,117,40,14116,true
3,6,warm,0,119,132,41,14116,true
4,22,warm,0,119,136,44,14116,true
4,13,warm,0,134,153,45,14116,true
